project,commit,coveredClass,outerClass,coveredClassPath,dstar,ochiai,tarantula,barinel,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc,uniq_changes,developers,age,isSusFlaky
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncHBaseAdmin.java,25.0,0.9128709291752768,0.9978494623655914,0.022431330956923,0,0,9,45,0,0,2251,0,164,20,3,1172962.0,1.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncRpcRetryingCallerFactory$MasterRequestCallerBuilder,org.apache.hadoop.hbase.client$AsyncRpcRetryingCallerFactory,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCallerFactory.java,25.0,0.9128709291752768,0.9978494623655914,0.022431330956923,0,0,0,0,0,0,398,0,0,18,4,5420296.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncMasterRequestRpcRetryingCaller,org.apache.hadoop.hbase.client$AsyncMasterRequestRpcRetryingCaller,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncMasterRequestRpcRetryingCaller.java,25.0,0.9128709291752768,0.9978494623655914,0.022431330956923,0,0,0,0,0,0,41,1,2,1,1,10629357.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncHBaseAdmin$1,org.apache.hadoop.hbase.client$AsyncHBaseAdmin,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncHBaseAdmin.java,25.0,0.9128709291752768,0.9978494623655914,0.022431330956923,0,0,9,45,0,0,2251,0,164,20,3,1172962.0,1.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncConnection,org.apache.hadoop.hbase.client$AsyncConnection,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncConnection.java,1.6666666666666667,0.5,0.9686847599164928,3.186097385921016e-09,0,0,0,0,0,0,0,0,0,5,2,4112459.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.client$AsyncConnectionImpl$3,org.apache.hadoop.hbase.client$AsyncConnectionImpl,hbase/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncConnectionImpl.java,1.6666666666666667,0.5,0.9686847599164928,3.186097385921016e-09,0,0,2,0,0,0,222,0,11,12,3,7575329.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.snapshot$SnapshotReferenceUtil$1,org.apache.hadoop.hbase.snapshot$SnapshotReferenceUtil,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotReferenceUtil.java,1.5625,0.4879500364742666,0.9666666666666666,1.7974996412415591e-09,0,0,3,0,0,0,309,0,17,19,10,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.master.snapshot$EnabledTableSnapshotHandler,org.apache.hadoop.hbase.master.snapshot$EnabledTableSnapshotHandler,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/snapshot/EnabledTableSnapshotHandler.java,1.3888888888888888,0.4662524041201569,0.9626556016597512,6.215382992148072e-10,0,0,0,0,2,0,87,2,7,17,12,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.regionserver.snapshot$RegionServerSnapshotManager$SnapshotSubprocedurePool,org.apache.hadoop.hbase.regionserver.snapshot$RegionServerSnapshotManager,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/snapshot/RegionServerSnapshotManager.java,1.3888888888888888,0.4662524041201569,0.9626556016597512,6.215382992148072e-10,0,0,0,0,2,0,338,2,11,30,16,1172962.0,0.0
hbase,23ea2c36f52283631ce665e04f2af433fc25ae55,org.apache.hadoop.hbase.regionserver.snapshot$FlushSnapshotSubprocedure,org.apache.hadoop.hbase.regionserver.snapshot$FlushSnapshotSubprocedure,hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/snapshot/FlushSnapshotSubprocedure.java,1.3888888888888888,0.4662524041201569,0.9626556016597512,6.215382992148072e-10,0,0,0,0,2,0,138,1,6,15,9,1172962.0,0.0
